地区,事故起数,死亡人数,受伤人数,直接财产损失
合计,265204,73484,304919,1009721657
北京,3943,986,4530,20665880
天津,4048,1225,4494,30697197
河北,7621,2928,8056,48210114
山西,7867,2910,8937,34237364
内蒙,5056,1610,5450,14418114
辽宁,7214,2280,6794,37628475
吉林,5782,1660,6691,24482657
黑龙江,4528,1703,4905,20057003
上海,2745,1100,2553,14768575
江苏,15431,5252,15377,50085432
浙江,25911,5864,28917,98032682
安徽,8412,3027,10282,23082376
福建,15657,3071,18831,48767432
江西,5914,1779,6853,55276123
山东,19594,5026,20058,68720466
河南,11529,2822,13024,49104595
湖北,7686,2022,9547,27904729
湖南,7622,2530,9899,37409372
广东,39389,7182,46998,100135850
广西,6106,2677,7395,20235774
海南,1449,469,2114,4344260
重庆,7262,1048,10905,10898106
四川,17037,3344,21983,58308376
贵州,2219,1348,3209,14802387
云南,5037,2082,5917,25419992
西藏,600,384,660,6203755
陕西,7205,2156,6889,29172254
甘肃,3364,1556,3691,14472560
青海,1120,604,1291,2697740
宁夏,2172,525,2369,8184552
新疆,5684,2314,6300,11297465
