地区,事故起数,死亡人数,受伤人数,直接财产损失
合计,238351,67759,275125,914368329
机动车违法小计,216732,62218,252659,838210497
超速行驶,23990,9504,26179,105564593
酒后驾驶,5969,2665,6626,24037261
逆行,10572,3506,14818,49649419
疲劳驾驶,1966,1153,2465,42944899
违法变更车道,5950,1009,7113,23423163
违法超车,7508,2122,10203,27453560
违法倒车,2603,590,2059,4649760
违法掉头,3378,366,4160,10217452
违法会车,9753,2585,13792,32046563
违法牵引,64,22,80,719697
违法抢行,1030,235,1166,3309828
违法上道路行驶,3769,1740,4443,19909926
违法停车,1306,442,1372,6475193
违法占道行驶,7692,2425,9429,25474709
违法装载,2248,1590,2602,16601760
违法装载超限及危险品运输,25,21,26,1720778
违反交通信号,6140,1279,7764,26385990
未按规定让行,41867,8192,46978,84996263
无证驾驶,15114,5166,18689,24279866
不按规定使用灯光,966,246,995,1691900
其他影响安全行为,64822,17360,71700,306657917
机动车非违法过错小计,9028,2592,10173,52327772
制动不当,596,175,747,4641843
转向不当,227,55,329,3699681
油门控制不当,62,29,82,578798
其他操作不当,8143,2333,9015,43407450
非机动车违法小计,9548,1578,10151,11118164
超速行驶,515,70,549,262887
酒后驾驶,162,44,155,144584
逆行,1708,216,2044,1848038
违法超车,314,18,380,166778
违法牵引,4,0,5,3882
违法抢行,299,58,289,293704
违法上道路行驶,371,81,360,501858
违法停车,19,4,20,21869
违法占道行驶,1632,271,1710,1748683
违法装载,69,16,60,55080
违反交通信号,1079,176,1097,1626503
未按规定让行,1905,342,2069,2587316
无证驾驶,25,4,32,13460
其他影响安全行为,1446,278,1381,1843522
行人乘车人违法小计,2719,1189,1743,7858384
违法上道路行驶,576,428,180,3325590
违法占道,214,86,160,288423
违反交通信号,989,275,789,1165921
其他影响安全行为,939,400,613,3077428
道路原因小计,23,9,21,36029
未设置道路安全设施,12,4,14,31009
安全设施损坏、灭失,1,1,0,102
道路缺陷,1,0,1,204
其他道路原因,9,4,6,4714
意外原因小计,301,173,378,4817483
